"Date","Price","Open","High","Low","Vol.","Change %"
"11/13/2020","14,631.0","14,719.0","14,852.0","14,631.0","845.40K","-0.60%"
"11/12/2020","14,719.0","14,409.0","14,852.0","14,409.0","1.03M","1.84%"
"11/11/2020","14,453.0","14,542.0","14,586.0","14,409.0","635.06K","-0.31%"
"11/10/2020","14,498.0","14,897.0","14,941.0","14,498.0","1.24M","0.62%"
"11/09/2020","14,409.0","13,655.0","14,409.0","13,655.0","1.14M","5.52%"
"11/06/2020","13,655.0","13,655.0","13,744.0","13,611.0","341.20K","-0.65%"
"11/05/2020","13,744.0","14,099.0","14,099.0","13,700.0","599.87K","-2.21%"
"11/04/2020","14,054.0","14,010.0","14,143.0","13,833.0","894.09K","1.60%"
"11/03/2020","13,833.0","13,478.0","14,143.0","13,478.0","784.87K","2.63%"
"11/02/2020","13,478.0","13,522.0","13,522.0","13,256.0","346.25K","0.66%"
"10/30/2020","13,389.0","13,389.0","13,478.0","13,123.0","439.04K","0.66%"
"10/29/2020","13,301.0","12,857.0","13,389.0","12,857.0","755.69K","1.36%"
"10/28/2020","13,123.0","13,301.0","13,655.0","13,123.0","1.23M","-1.99%"
"10/27/2020","13,389.0","13,744.0","13,877.0","13,345.0","1.15M","-3.21%"
"10/26/2020","13,833.0","14,143.0","14,187.0","13,788.0","1.38M","-2.50%"
"10/23/2020","14,187.0","14,276.0","14,365.0","14,099.0","1.15M","-1.24%"
"10/22/2020","14,365.0","14,187.0","14,498.0","14,143.0","773.31K","1.25%"
"10/21/2020","14,187.0","14,719.0","14,852.0","14,143.0","3.84M","-5.05%"
"10/20/2020","14,941.0","14,897.0","15,030.0","14,764.0","611.12K","-0.59%"
"10/19/2020","15,030.0","15,163.0","15,251.0","14,897.0","440.54K","-0.29%"
"10/16/2020","15,074.0","14,631.0","15,207.0","14,586.0","1.64M","2.72%"
"10/15/2020","14,675.0","14,897.0","15,074.0","14,675.0","1.25M","-2.07%"
"10/14/2020","14,985.0","14,941.0","15,384.0","14,808.0","1.16M","0.29%"
"10/13/2020","14,941.0","15,074.0","15,118.0","14,852.0","643.83K","-0.88%"
"10/12/2020","15,074.0","15,251.0","15,606.0","14,985.0","1.63M","0.00%"
"10/09/2020","15,074.0","14,675.0","15,118.0","14,675.0","1.70M","3.35%"
"10/08/2020","14,586.0","14,852.0","14,852.0","14,365.0","1.51M","-1.50%"
"10/07/2020","14,808.0","14,852.0","15,030.0","14,719.0","1.12M","-0.60%"
"10/06/2020","14,897.0","15,207.0","15,207.0","14,897.0","1.35M","-2.04%"
"10/05/2020","15,207.0","14,631.0","15,207.0","14,631.0","2.34M","4.89%"
"10/02/2020","14,498.0","14,365.0","14,675.0","14,054.0","2.30M","1.56%"
"10/01/2020","14,276.0","14,010.0","14,409.0","13,921.0","1.86M","3.20%"
"09/30/2020","13,833.0","13,744.0","13,921.0","13,655.0","722.69K","0.00%"
"09/29/2020","13,833.0","13,966.0","14,187.0","13,833.0","1.04M","-0.32%"
"09/28/2020","13,877.0","13,921.0","14,054.0","13,788.0","704.78K","-0.32%"
"09/25/2020","13,921.0","14,010.0","14,099.0","13,655.0","1.28M","-0.64%"
"09/24/2020","14,010.0","14,143.0","14,187.0","13,966.0","677.27K","-1.25%"
"09/23/2020","14,187.0","14,187.0","14,409.0","14,010.0","873.60K","1.26%"
"09/22/2020","14,010.0","14,232.0","14,320.0","13,921.0","1.47M","-1.56%"
"09/21/2020","14,232.0","13,877.0","14,320.0","13,833.0","2.17M","3.22%"
"09/18/2020","13,788.0","13,833.0","13,921.0","13,700.0","720.23K","-0.33%"
"09/17/2020","13,833.0","13,877.0","13,877.0","13,567.0","1.08M","0.00%"
"09/16/2020","13,833.0","13,788.0","13,921.0","13,700.0","522.79K","0.33%"
"09/15/2020","13,788.0","14,010.0","14,099.0","13,700.0","1.13M","-1.27%"
"09/14/2020","13,966.0","13,744.0","13,966.0","13,744.0","1.61M","2.28%"
"09/11/2020","13,655.0","13,389.0","13,700.0","13,389.0","674.60K","1.99%"
"09/10/2020","13,389.0","13,744.0","13,833.0","13,389.0","1.34M","-2.27%"
"09/09/2020","13,700.0","13,301.0","13,788.0","13,168.0","1.35M","1.98%"
"09/08/2020","13,434.0","13,079.0","13,434.0","12,990.0","1.15M","4.49%"
"09/07/2020","12,857.0","13,567.0","13,567.0","12,857.0","1.30M","-4.30%"
"09/04/2020","13,434.0","13,345.0","13,567.0","13,345.0","1.43M","-1.62%"
"09/03/2020","13,655.0","13,921.0","14,010.0","13,611.0","728.40K","-1.29%"
"09/01/2020","13,833.0","13,700.0","14,010.0","13,611.0","1.30M","0.33%"
"08/31/2020","13,788.0","13,655.0","14,143.0","13,611.0","1.18M","0.64%"
"08/28/2020","13,700.0","14,099.0","14,187.0","13,655.0","1.30M","-2.21%"
"08/27/2020","14,010.0","13,168.0","14,054.0","13,123.0","2.14M","6.39%"
"08/26/2020","13,168.0","13,168.0","13,301.0","12,990.0","562.44K","-0.66%"
"08/25/2020","13,256.0","13,301.0","13,478.0","13,168.0","1.10M","0.67%"
"08/24/2020","13,168.0","13,123.0","13,389.0","13,079.0","897.71K","1.71%"
"08/21/2020","12,946.0","12,769.0","13,035.0","12,636.0","1.07M","3.18%"
"08/20/2020","12,547.0","12,769.0","12,769.0","12,414.0","584.82K","-1.05%"
"08/19/2020","12,680.0","12,724.0","12,769.0","12,458.0","1.11M","-0.70%"
"08/18/2020","12,769.0","12,724.0","13,123.0","12,636.0","806.54K","0.35%"
"08/17/2020","12,724.0","12,503.0","12,857.0","12,237.0","553.20K","1.77%"
"08/14/2020","12,503.0","12,237.0","12,680.0","12,148.0","1.55M","2.17%"
"08/13/2020","12,237.0","11,882.0","12,325.0","11,882.0","1.32M","2.99%"
"08/12/2020","11,882.0","11,926.0","11,926.0","11,749.0","255.55K","1.51%"
"08/11/2020","11,705.0","12,059.0","12,059.0","11,705.0","699.70K","-1.49%"
"08/10/2020","11,882.0","11,971.0","12,104.0","11,882.0","398.17K","-0.74%"
"08/07/2020","11,971.0","12,104.0","12,192.0","11,926.0","280.78K","-0.73%"
"08/06/2020","12,059.0","12,059.0","12,237.0","11,926.0","421.77K","0.74%"
"08/05/2020","11,971.0","11,527.0","12,148.0","11,527.0","755.86K","4.65%"
"08/04/2020","11,439.0","11,439.0","11,527.0","11,306.0","306.09K","1.18%"
"08/03/2020","11,306.0","11,128.0","11,439.0","11,128.0","158.73K","1.60%"
"07/31/2020","11,128.0","10,995.0","11,261.0","10,774.0","101.52K","0.00%"
"07/30/2020","11,128.0","10,951.0","11,217.0","10,862.0","473.67K","2.45%"
"07/29/2020","10,862.0","11,128.0","11,350.0","10,729.0","875.26K","-5.77%"
"07/28/2020","11,527.0","10,907.0","11,527.0","10,818.0","151.79K","5.68%"
"07/27/2020","10,907.0","11,439.0","11,439.0","10,818.0","390.19K","-5.38%"
